jcat,piece,type,inclination,reentry_date,dry_mass
S28519,2005-001C,R2          ,23.98,2005-06-20T00:00:00Z,    924 
S28543,2005-005B,C  A        ,6.75,2012-12-03T00:00:00Z,    440 
S28623,2005-006B,R2          ,28.9,2008-07-18T00:00:00Z,   4000 
S28625,2005-007B,R3          ,51.64,2005-03-02T23:18:00Z,   2350 
S28630,2005-010B,R3          ,51.63,2005-04-01T10:38:00Z,   4185 
S28631,2005-010C,C  A        ,51.61,2005-03-31T14:10:00Z,    800 
S28633,2005-010E,C  M        ,47.5,2006-09-24T00:00:00Z,     56 
S28639,2005-012B,R3          ,25.86,2006-02-26T00:00:00Z,   2800 
S28641,2005-013B,R3          ,51.64,2005-04-18T00:00:00Z,   2350 
S28643,2005-014B,R3          ,97.74,2012-01-31T00:00:00Z,    202 
S28655,2005-018B,R2          ,103.57,2005-07-05T00:00:00Z,    924 
S28687,2005-020B,R3          ,62.98,2005-06-24T00:00:00Z,   2350 
S28695,2005-020E,C  A        ,62.86,2005-06-28T00:00:00Z,      0 
S28698,2005-020H,C  A        ,62.88,2005-06-17T00:00:00Z,      0 
S28699,2005-020J,C  A        ,63.05,2005-07-02T00:00:00Z,      0 
S28701,2005-021B,R3          ,51.63,2005-06-19T00:00:00Z,   2350 
S28703,2005-022B,R3          ,0.01,2005-10-20T00:00:00Z,   3210 
S28708,2005-023B,R3          ,51.63,2005-06-27T00:00:00Z,   4185 
S28709,2005-023C,C  A        ,51.62,2005-06-25T00:00:00Z,    800 
S28712,2005-023F,C  M        ,47.51,2006-01-30T00:00:00Z,     56 
S28713,2005-023G,C  M        ,47.47,2005-12-04T00:00:00Z,     56 
S28774,2005-025B,R3          ,31.4,2005-12-23T00:00:00Z,    900 
S28777,2005-027B,R2          ,63,2005-08-16T00:00:00Z,   4006 
S28791,2005-030B,R4          ,49.24,2006-01-20T00:00:00Z,   1000 
S28823,2005-032B,R3          ,97.76,2005-09-13T00:00:00Z,   2370 
S28827,2005-033D,R2          ,62.97,2005-09-12T00:00:00Z,   4006 
S28842,2005-034B,R3          ,64.9,2005-09-08T00:00:00Z,   2350 
S28867,2005-035B,R3          ,51.64,2005-09-11T00:00:00Z,   2350 
S28872,2005-037B,R4          ,96.36,2005-11-29T00:00:00Z,    410 
S28875,2005-038B,R2          ,35.21,2006-01-30T00:00:00Z,    924 
S28878,2005-039B,R3          ,51.64,2005-10-04T00:00:00Z,   2350 
S28880,2005-040B,R2          ,42.41,2005-10-26T00:00:00Z,   5500 
S28889,2005-042B,R2      C   ,97.87,2006-01-01T00:00:00Z,   4500 
S28905,2005-046D,C  A        ,6.73,2020-05-03T00:15:00Z,    440 
S28907,2005-047B,R3          ,51.65,2005-12-24T00:00:00Z,   2350 
S28921,2005-050G,R3          ,64.85,2005-12-25T16:00:00Z,   4185 
S28942,2006-005D,R3          ,98.19,2011-02-02T00:00:00Z,    900 
S28997,2006-009B,R3          ,51.64,2006-04-02T00:00:00Z,   2350 
S29053,2006-011G,R4          ,72.02,2018-02-03T10:30:00Z,    410 
S29058,2006-013B,R3          ,51.62,2006-04-26T00:00:00Z,   2350 
S29080,2006-014B,R4          ,97.32,2017-09-03T01:54:00Z,    300 
S29093,2006-015B,R3          ,97.85,2023-03-26T22:36:00Z,   1000 
S29109,2006-016C,R2          ,102.75,2006-07-06T00:00:00Z,    919 
S29112,2006-017B,R3          ,67.15,2006-05-08T00:00:00Z,   2350 
S29160,2006-019D,C  A        ,78.87,2006-10-15T00:00:00Z,      5 
S29191,1998-067AH,C  A E      ,51.63,2006-12-01T00:00:00Z,      4 
S29229,2006-021B,R3          ,69.96,2006-06-28T00:00:00Z,   2350 
S29231,2006-022B,R3          ,51.56,2006-06-18T15:00:00Z,   4185 
S29232,2006-022C,C  A        ,51.57,2006-06-20T00:00:00Z,    800 
S29244,2006-024E,R3          ,25.25,2010-01-01T00:00:00Z,    132 
S29246,2006-025B,R3          ,51.63,2006-06-27T00:00:00Z,   2350 
S29248,2006-026B,R2          ,65.07,2006-06-25T16:00:00Z,   4000 
S29262,2006-030C,R3          ,62.83,2006-09-30T00:00:00Z,   2350 
S29263,2006-030D,C  M        ,62.85,2006-09-01T00:00:00Z,    328 
S29264,2006-030E,C  M        ,62.87,2006-09-25T00:00:00Z,      0 
