jcat,piece,type,inclination,reentry_date,dry_mass
S43635,2018-074D,C  A        ,5.99,2024-12-28T18:26:00Z,    440 
S43637,2018-075B,R4          ,98.23,2021-08-16T02:54:00Z,     50 
S43658,2018-082B,R3          ,67.14,2020-08-04T00:00:00Z,   2350 
S43667,2018-083F,R2          ,97.62,2019-02-05T03:53:00Z,   3800 
S43684,2018-085B,R3          ,28.42,2019-03-10T18:10:00Z,   2800 
S43691,2018-088B,R2          ,85.03,2018-12-28T19:36:00Z,    250 
S43699,2018-089B,R2          ,21.48,2019-05-12T16:21:00Z,   4400 
S43701,2018-090B,R2          ,24.96,2019-04-15T02:10:00Z,   4000 
S43703,2018-091B,R3          ,51.64,2019-06-04T00:00:00Z,   2350 
S43705,2018-092B,R2          ,51.6,2018-11-28T15:18:00Z,   1220 
S43709,2018-093D,R3          ,55.1,2019-10-28T00:08:00Z,   2800 
S43739,2018-096W,R4          ,97.43,2023-06-01T00:00:00Z,    920 
S43757,2018-098B,R3          ,51.63,2018-12-07T21:11:00Z,   2350 
S43826,2018-100D,C  A        ,3.48,2022-05-03T15:04:00Z,    440 
S43851,2018-104C,R3          ,85.04,2023-10-09T11:59:00Z,     50 
S43863,2018-104Q,R2          ,85.03,2019-01-30T11:10:00Z,    250 
S43865,2018-105B,R3          ,19.48,2019-04-05T09:00:00Z,   2583 
S43869,2018-107C,C  M        ,48.68,2021-11-02T00:00:00Z,   1000 
S43916,2018-112H,R2          ,50,2019-01-01T00:01:00Z,   4006 
S43921,2019-001B,R3          ,27.07,2019-07-03T06:16:00Z,   2800 
S43936,2019-003E,R4          ,97.3,2024-11-12T01:41:00Z,    185 
S43939,2019-003H,R3          ,97.16,2019-08-07T22:30:00Z,    400 
S43945,2019-005D,R4          ,97.36,2019-01-28T00:00:00Z,    500 
S44036,2019-007C,R2          ,3.01,2024-08-15T02:34:00Z,   5000 
S44050,2019-009C,R2          ,27.56,2021-01-03T13:29:00Z,   4000 
S44064,2019-011B,C  A T-     ,51.64,2021-07-20T09:00:00Z,   2300 
S44068,2019-012B,R3          ,24.63,2023-12-16T00:00:00Z,   2800 
S44070,2019-013B,R3          ,51.63,2019-03-17T13:45:00Z,   2350 
S44074,2019-016B,R3          ,39.51,2021-06-25T00:00:00Z,     40 
S44075,2019-016C,R2          ,39.52,2019-04-15T04:08:00Z,    250 
S44111,2019-019B,R3          ,51.65,2019-04-07T07:30:00Z,   2350 
S44187,2019-021B,R2          ,22.92,2021-06-14T08:12:00Z,   4000 
S44206,2019-022B,R2          ,51.61,2019-04-28T13:30:00Z,   1220 
S44208,2019-024B,C  A        ,97.45,2023-03-07T15:38:00Z,    100 
S44210,2019-024D,R3          ,97.53,2020-07-04T16:18:00Z,   1000 
S44227,2019-026C,R3          ,40.03,2023-09-15T00:00:00Z,     45 
S44228,2019-026D,R2          ,40.02,2019-05-17T17:30:00Z,    250 
S44295,2019-029BN,C  A        ,53,2023-04-04T00:00:00Z,    100 
S44296,2019-029BP,C  A        ,53,2023-04-04T00:00:00Z,    100 
S44297,2019-029BQ,C  A        ,53,2023-02-24T00:00:00Z,    100 
S44298,2019-029BR,C  A        ,53,2023-02-22T00:00:00Z,    100 
S44317,2019-032H,R4          ,44.92,2021-03-12T08:14:00Z,    500 
S44338,2019-035B,R3          ,28.51,2019-10-22T00:00:00Z,   2800 
S44368,2019-037D,R3          ,45.01,2022-04-14T00:00:00Z,     50 
S44372,2019-037H,R2          ,45.01,2020-03-16T08:23:00Z,    250 
S44438,2019-041B,R3          ,51.61,2019-07-24T03:23:00Z,   2350 
S44442,2019-042B,R2          ,21.4,2019-10-16T10:28:00Z,   4400 
S44456,2019-047B,R3          ,51.66,2019-08-04T00:00:00Z,   2350 
S44459,2019-048C,C  M        ,48.62,2024-12-20T20:41:00Z,   1000 
S44494,2019-053B,R3          ,28.39,2023-05-26T19:12:00Z,   2800 
S44500,2019-054F,R2          ,45.01,2020-11-05T20:57:00Z,    250 
S44505,2019-055B,R3          ,51.67,2019-08-26T05:25:00Z,   2350 
S44521,2019-058C,R4          ,97.8,2023-08-20T04:36:00Z,     50 
S44535,2019-060B,R4          ,97.37,2019-09-19T18:00:00Z,    500 
S44545,2019-061D,R3          ,55.01,2020-09-22T01:31:00Z,   2800 
S44551,2019-064B,R3          ,51.63,2019-09-28T14:22:00Z,   2350 
S44635,2019-069B,R2          ,87.89,2022-09-23T22:00:00Z,    250 
S44638,2019-070B,R3          ,26.99,2024-11-01T23:43:00Z,   2800 
S44702,2019-071B,R2          ,51.61,2019-11-07T00:00:00Z,   1220 
S44707,2019-072E,R3          ,97.59,2020-04-08T14:52:00Z,   1000 
S44710,2019-073B,R3          ,28.48,2021-02-25T12:32:00Z,   2800 
S44773,2019-074BN,C  A        ,53,2020-01-22T00:00:00Z,    100 
S44774,2019-074BP,C  A        ,53,2020-01-18T00:00:00Z,    100 
S44775,2019-074BQ,C  A        ,53,2020-01-12T00:00:00Z,    100 
S44776,2019-074BR,C  A        ,53,2020-01-08T00:00:00Z,    100 
S44778,2019-075B,R4          ,97.51,2019-11-20T03:30:00Z,     50 
S44787,2019-077C,R4          ,88.88,2024-12-14T00:49:00Z,     50 
S44799,2019-079C,R2          ,97.91,2020-07-18T07:02:00Z,   2350 
S44820,2019-082B,R3          ,97.89,2024-11-10T23:04:00Z,   1000 
S44825,2019-084B,R3          ,97,2020-11-08T00:00:00Z,     50 
S44826,2019-084C,R2          ,97.01,2019-12-18T02:18:00Z,    250 
S44834,2019-085B,R3          ,51.66,2019-12-10T04:34:00Z,   2350 
S44837,2019-086B,R4          ,97.52,2020-03-04T00:00:00Z,     50 
S44844,2019-087G,R4          ,97.38,2020-12-28T14:38:00Z,     50 
S44858,2019-089G,C  A        ,36.97,2023-12-23T21:34:00Z,     50 
S44875,2019-092C,C  A        ,98.01,2024-05-04T20:36:00Z,    400 
S44911,2019-097B,R2          ,18.17,2022-05-02T01:52:00Z,   5100 
S44974,2020-001BN,C  A        ,53,2020-03-11T00:00:00Z,    100 
S44975,2020-001BP,C  A        ,53,2020-03-12T00:00:00Z,    100 
S44976,2020-001BQ,C  A        ,53,2020-03-06T00:00:00Z,    100 
S44977,2020-001BR,C  A        ,53,2020-03-03T00:00:00Z,    100 
S44979,2020-002B,R3          ,27.45,2021-04-03T07:27:00Z,   2800 
S45025,2020-004B,R4          ,86.39,2020-01-18T00:00:00Z,     50 
S45104,2020-006BN,C  A        ,53,2020-03-29T00:00:00Z,    100 
S45105,2020-006BP,C  A        ,53,2020-03-31T00:00:00Z,    100 
S45106,2020-006BQ,C  A        ,53,2020-03-25T00:00:00Z,    100 
S45107,2020-006BR,C  A        ,53,2020-03-22T00:00:00Z,    100 
S45112,2020-007C,R2          ,70,2020-02-22T11:37:00Z,    250 
S45166,2020-009B,R2      C   ,97.4,2024-04-22T21:20:00Z,   4000 
S45177,2020-011C,R2          ,51.61,2020-02-23T01:20:00Z,   1220 
S45238,2020-012BN,C  A        ,53,2020-03-25T00:00:00Z,    100 
S45239,2020-012BP,C  A        ,53,2020-03-21T00:00:00Z,    100 
S45240,2020-012BQ,C  A        ,53,2020-03-22T00:00:00Z,    100 
S45241,2020-012BR,C  A        ,53,2020-03-23T00:00:00Z,    100 
S45242,2020-012BS,R2----   k  ,53,2020-03-05T13:44:00Z,   4000 
S45252,2020-014D,R2-----     ,35.01,2023-02-18T12:00:00Z,   4006 
S45420,2020-019BN,C  A        ,53,2020-04-14T00:00:00Z,    100 
S45421,2020-019BP,C  A        ,53,2020-04-13T00:00:00Z,    100 
S45422,2020-019BQ,C  A        ,53,2020-04-13T00:00:00Z,    100 
S45423,2020-019BR,C  A        ,53,2020-04-16T00:00:00Z,    100 
S45463,2020-021D,R2          ,34.68,2024-04-25T09:25:00Z,   3800 
S45477,2020-023B,R3          ,51.66,2020-04-12T22:40:00Z,   2350 
S45530,2020-024B,R3          ,59.8,2023-03-19T00:48:00Z,    100 
S45591,2020-025BN,C  A        ,53.01,2020-05-24T00:00:00Z,    100 
S45592,2020-025BP,C  A        ,53.01,2020-05-24T00:00:00Z,    100 
S45593,2020-025BQ,C  A        ,53.01,2020-05-24T00:00:00Z,    100 
S45594,2020-025BR,C  A        ,53.01,2020-05-24T00:00:00Z,    100 
S45596,2020-026B,R3          ,51.65,2020-04-28T04:45:00Z,   2350 
S45601,2020-027C,R1          ,41.09,2020-05-11T15:34:00Z,  21600 
S45604,2020-028C,R4          ,0,2020-07-08T15:15:00Z,     50 
S45613,2020-032C,R4          ,35.03,2022-04-29T00:00:00Z,    500 
S45717,2020-035BN,C  A        ,53,2020-07-12T00:00:00Z,    100 
S45718,2020-035BP,C  A        ,53,2020-07-09T00:00:00Z,    100 
S45719,2020-035BQ,C  A        ,53,2020-07-07T00:00:00Z,    100 
S45720,2020-035BR,C  A        ,53,2020-07-13T00:00:00Z,    100 
S45729,2020-037G,R2          ,97.7,2020-07-08T00:00:00Z,    250 
S45791,2020-038BP,C  A        ,53,2020-07-26T00:00:00Z,    100 
S45792,2020-038BQ,C  A        ,53,2020-07-26T00:00:00Z,    100 
S45793,2020-038BR,C  A        ,53,2020-07-21T00:00:00Z,    100 
S45798,2020-038BS,C  A        ,53,2020-07-19T00:00:00Z,    100 
S45799,2020-038BT,C  A     m  ,53,2020-06-24T00:00:00Z,      5 
S45853,2020-038BU,C  A     m  ,53,2020-08-01T00:00:00Z,      5 
S45858,2020-042C,R3          ,97.98,2024-10-19T08:34:00Z,   1000 
S45861,2020-044B,R3------C   ,140.64,2021-01-27T00:00:00Z,    100 
S45938,2020-050B,R3          ,51.65,2020-07-27T07:31:00Z,   2350 
S45942,2020-051D,R3          ,97.6,2021-09-09T20:50:00Z,   1000 
S46024,2020-033B,C  A T-     ,51.65,2020-12-11T13:59:00Z,   2300 
S46084,2020-055BK,C  A        ,53.01,2022-04-09T00:00:00Z,    100 
S46085,2020-055BL,C  A        ,53.01,2022-04-07T00:00:00Z,    100 
S46086,2020-055BM,C  A        ,53.01,2022-04-03T00:00:00Z,    100 
S46087,2020-055BN,C  A        ,53.01,2022-03-31T00:00:00Z,    100 
S46090,2020-055BR,C  A     m  ,53.01,2022-02-21T00:00:00Z,      5 
S46175,2020-057BL,C  A        ,52.99,2020-09-21T00:00:00Z,    100 
S46176,2020-057BM,C  A        ,52.99,2020-09-18T00:00:00Z,    100 
S46177,2020-057BN,C  A        ,53,2020-09-15T00:00:00Z,    100 
S46178,2020-057BP,C  A        ,53,2020-09-13T00:00:00Z,    100 
S46236,2020-057BT,C  A    ?m  ,53,2020-09-23T00:00:00Z,      5 
S46270,2020-060C,R2          ,45.11,2020-09-19T23:00:00Z,    250 
S46385,2020-062BN,C  A        ,53,2020-09-29T00:00:00Z,    100 
S46386,2020-062BP,C  A        ,53,2020-09-28T00:00:00Z,    100 
S46387,2020-062BQ,C  A        ,53,2020-09-28T00:00:00Z,    100 
S46388,2020-062BR,C  A        ,53,2020-09-29T00:00:00Z,    100 
S46390,2020-063B,R2          ,50.21,2021-07-01T08:34:00Z,   5500 
S46395,2020-063G,C  M        ,50.21,2021-12-25T20:01:00Z,    500 
S46397,2020-064B,R3          ,97.26,2021-01-01T09:13:00Z,   1000 
S46463,2020-065K,R4          ,97.48,2021-02-21T17:14:00Z,    500 
S46531,2020-069B,R2          ,51.61,2020-10-07T04:00:00Z,   1220 
S46592,2020-070BN,C  A        ,52.99,2020-11-07T00:00:00Z,    100 
S46593,2020-070BP,C  A        ,52.99,2020-11-06T00:00:00Z,    100 
S46594,2020-070BQ,C  A        ,52.99,2020-11-04T00:00:00Z,    100 
S46595,2020-070BR,C  A        ,52.99,2020-11-02T00:00:00Z,    100 
S46611,2020-071B,R3          ,28.46,2021-01-02T22:57:00Z,   2800 
S46614,2020-072B,R3          ,51.65,2020-10-18T04:35:00Z,   2350 
S46669,2020-070BS,R2----      ,53,2020-10-30T14:01:00Z,   4000 
S46730,2020-073BN,C  A        ,53.05,2020-11-15T00:00:00Z,    100 
S46731,2020-073BP,C  A        ,53.05,2020-11-16T00:00:00Z,    100 
S46732,2020-073BQ,C  A        ,53.05,2020-11-14T00:00:00Z,    100 
S46733,2020-073BR,C  A        ,53.05,2020-11-11T00:00:00Z,    100 
S46799,2020-074BN,C  A        ,53.05,2020-11-21T00:00:00Z,    100 
S46800,2020-074BP,C  A        ,53.05,2020-11-22T00:00:00Z,    100 
S46801,2020-074BQ,C  A        ,53.05,2020-11-20T00:00:00Z,    100 
S46802,2020-074BR,C  A        ,53.05,2020-11-17T00:00:00Z,    100 
S46803,2020-074BS,R2----   m  ,53.05,2020-11-16T00:00:00Z,   4000 
S46823,2020-077L,R2          ,97.5,2020-11-11T00:00:00Z,    250 
S46824,2020-077M,R3          ,96.65,2024-01-14T23:00:00Z,     50 
S46834,2020-079H,C  A        ,97.27,2023-04-02T21:20:00Z,     30 
S46841,2020-079Q,R3          ,97.27,2020-12-21T07:22:00Z,   1000 
S46917,2020-082B,R3          ,28.41,2021-02-28T00:14:00Z,   2800 
S46929,2020-085A,R3          ,97.37,2023-09-21T12:30:00Z,     50 
S46930,2020-085B,R2          ,97.37,2020-11-30T09:44:00Z,    250 
S47182,2020-088BN,C  A        ,53.05,2020-12-19T00:00:00Z,    100 
S47183,2020-088BP,C  A        ,53.05,2020-12-19T00:00:00Z,    100 
S47184,2020-088BQ,C  A        ,53.05,2020-12-19T00:00:00Z,    100 
S47185,2020-088BR,C  A        ,53.05,2020-12-19T00:00:00Z,    100 
S47203,2020-089B,R2      c   ,28.38,2021-06-12T18:34:00Z,   4000 
S47232,2020-092B,R3          ,97.38,2023-05-02T15:03:00Z,   2800 
S47236,2020-094C,C  A        ,28.99,2022-02-27T00:00:00Z,      0 
S47239,2020-094D,R4          ,28.91,2020-12-22T22:16:00Z,    500 
S47254,2020-098B,R3          ,97.38,2024-01-10T00:00:00Z,     40 
S47255,2020-098C,R2          ,97.37,2020-12-28T08:13:00Z,    250 
S47301,2020-102F,R2          ,97.44,2023-03-16T00:00:00Z,   2800 
S47308,2020-093B,CX A T      ,51.65,2021-02-03T15:42:00Z,   2000 
S47316,2021-002H,R2          ,60.7,2023-06-07T02:43:00Z,    200 
S47322,2021-003B,R3          ,28.48,2022-03-28T13:46:00Z,   2800 
S47348,2021-004C,R2          ,90,2021-09-16T21:16:00Z,    250 
S47409,2021-005BN,C  A        ,53.05,2021-02-20T00:00:00Z,    100 
S47410,2021-005BP,C  A        ,53.05,2021-02-20T00:00:00Z,    100 
S47411,2021-005BQ,C  A        ,53.05,2021-02-19T00:00:00Z,    100 
S47412,2021-005BR,C  A        ,53.05,2021-02-16T00:00:00Z,    100 
S47547,2021-008B,R3          ,67.14,2022-03-03T09:20:00Z,   2350 
S47608,2021-009BN,C  A        ,53.05,2021-03-05T00:00:00Z,    100 
S47609,2021-009BP,C  A        ,53.05,2021-03-05T00:00:00Z,    100 
S47610,2021-009BQ,C  A        ,53.05,2021-03-04T00:00:00Z,    100 
S47611,2021-009BR,C  A        ,53.05,2021-03-01T00:00:00Z,    100 
S47614,2021-010B,R3          ,28.48,2022-04-02T14:12:00Z,   2800 
S47619,2021-011B,R3          ,51.66,2021-02-17T23:36:00Z,   2350 
S47680,2021-012BN,C  A        ,53.05,2021-03-14T00:00:00Z,    100 
S47681,2021-012BP,C  A        ,53.05,2021-03-14T00:00:00Z,    100 
S47682,2021-012BQ,C  A        ,53.05,2021-03-13T00:00:00Z,    100 
S47683,2021-012BR,C  A        ,53.05,2021-03-11T00:00:00Z,    100 
S47690,2021-013B,R2          ,51.63,2021-03-01T11:15:00Z,   1220 
S47782,2021-017BN,R2----      ,53,2021-03-26T04:00:00Z,   4000 
S47783,2021-017BP,C  A        ,53.05,2021-03-30T00:00:00Z,    100 
S47784,2021-017BQ,C  A        ,53.05,2021-04-04T00:00:00Z,    100 
S47785,2021-017BR,C  A        ,53.05,2021-03-29T00:00:00Z,    100 
S47786,2021-017BS,C  A        ,53.05,2021-03-29T00:00:00Z,    100 
S47847,2021-018BN,C  A        ,53.05,2021-04-05T00:00:00Z,    100 
S47848,2021-018BP,C  A        ,53.05,2021-04-06T00:00:00Z,    100 
S47849,2021-018BQ,C  A        ,53.05,2021-04-04T00:00:00Z,    100 
S47850,2021-018BR,C  A        ,53.05,2021-04-04T00:00:00Z,    100 
S47852,2021-019B,R3          ,19.55,2022-11-22T20:44:00Z,   2800 
S47920,2021-021BN,C  A        ,53.05,2021-04-09T00:00:00Z,    100 
S47921,2021-021BP,C  A        ,53.05,2021-04-10T00:00:00Z,    100 
S47922,2021-021BQ,C  A        ,53.05,2021-04-08T00:00:00Z,    100 
S47923,2021-021BR,C  A        ,53.05,2021-04-05T00:00:00Z,    100 
S47970,2021-023F,R2          ,45.01,2022-01-15T06:37:00Z,    250 
S48037,2021-024BN,C  A        ,53.05,2021-04-20T00:00:00Z,    100 
S48038,2021-024BP,C  A        ,53.05,2021-04-20T00:00:00Z,    100 
S48039,2021-024BQ,C  A        ,53.05,2021-04-19T00:00:00Z,    100 
S48040,2021-024BR,C  A        ,53.05,2021-04-17T00:00:00Z,    100 
S48152,2021-027BN,C  A        ,53.05,2021-05-03T00:00:00Z,    100 
S48153,2021-027BP,C  A        ,53.05,2021-05-04T00:00:00Z,    100 
S48154,2021-027BQ,C  A        ,53.05,2021-05-02T00:00:00Z,    100 
S48155,2021-027BR,C  A        ,53.05,2021-04-30T00:00:00Z,    100 
S48160,2021-029B,R3          ,51.65,2021-04-13T02:04:00Z,   2350 
S48257,2021-033K,R3          ,97.32,2024-02-09T09:49:00Z,   1000 
S48275,2021-035B,R1          ,41.48,2021-05-09T02:14:00Z,  21600 
S48336,2021-036BN,C  A        ,53.05,2021-06-02T00:00:00Z,    100 
S48337,2021-036BP,C  A        ,53.05,2021-06-02T00:00:00Z,    100 
S48338,2021-036BQ,C  A        ,53.05,2021-06-02T00:00:00Z,    100 
S48339,2021-036BR,C  A        ,53.05,2021-05-24T00:00:00Z,    100 
S48342,2020-084B,C  A T      ,51.55,2022-07-08T21:05:00Z,   2300 
S48413,2021-038BN,C  A        ,53.05,2021-06-06T00:00:00Z,    100 
S48414,2021-038BP,C  A        ,53.05,2021-06-06T00:00:00Z,    100 
S48415,2021-038BQ,C  A        ,53.05,2021-06-04T00:00:00Z,    100 
S48416,2021-038BR,C  A        ,53.05,2021-06-02T00:00:00Z,    100 
S48488,2021-040BN,C  A        ,53.05,2021-06-10T00:00:00Z,    100 
S48489,2021-040BP,C  A        ,53.05,2021-06-10T00:00:00Z,    100 
S48490,2021-040BQ,C  A        ,53.05,2021-06-09T00:00:00Z,    100 
S48491,2021-040BR,C  A        ,53.05,2021-06-05T00:00:00Z,    100 
S48698,2021-044BN,C  A        ,53.05,2021-06-29T00:00:00Z,    100 
S48699,2021-044BP,C  A        ,53.05,2021-06-29T00:00:00Z,    100 
S48700,2021-044BQ,C  A        ,53.05,2021-06-30T00:00:00Z,    100 
S48701,2021-044BR,C  A        ,53.05,2021-06-23T00:00:00Z,    100 
S48804,2021-046B,R2          ,41.47,2021-06-15T08:43:00Z,   6000 
S48809,2021-047B,R3          ,28.62,2022-08-09T07:49:00Z,   2800 
S48845,2021-051B,R3          ,97.48,2023-11-27T19:45:00Z,    202 
S48853,2021-053B,R2          ,41.46,2021-07-03T16:47:00Z,   5500 
S48866,2021-056B,R3          ,67.13,2021-07-26T17:32:00Z,   2350 
S48870,2021-057B,R3          ,51.66,2021-07-02T18:02:00Z,   2350 
S48871,2021-058A,R2          ,60.67,2023-08-25T17:52:00Z,    200 
S49012,2021-063B,R3          ,17.61,2022-05-29T16:46:00Z,   2800 
S49045,2021-066B,R3          ,51.63,2021-08-06T04:46:00Z,   4185 
S49053,2021-068B,R2          ,37.02,2021-11-15T00:51:00Z,    250 
S49054,2021-068C,R3          ,37.02,2022-10-13T11:30:00Z,     40 
S49063,2021-071B,R3          ,27.1,2021-11-22T05:54:00Z,   2800 
S49065,2021-072B,R2          ,51.63,2021-08-18T16:12:00Z,   1220 
S49073,2021-074C,R3          ,97.44,2022-09-03T00:00:00Z,   1000 
S49074,2021-074D,C  A        ,97.45,2023-04-29T19:30:00Z,    100 
S49116,2021-077B,R3          ,28.49,2021-11-13T00:00:00Z,   2800 
S49126,2021-080B,R3          ,24.64,2022-05-12T00:00:00Z,   2800 
S49128,2021-081B,R2          ,96.35,2021-12-11T03:49:00Z,   2350 
S49130,2021-082A,R2----      ,70,2021-09-29T15:02:00Z,   3000 
S49182,2021-082BE,C  A        ,70,2021-10-03T00:00:00Z,    100 
S49183,2021-082BF,C  A        ,70,2021-10-03T00:00:00Z,    100 
S49184,2021-082BG,C  A        ,70,2021-10-02T00:00:00Z,    100 
S49185,2021-082BH,C  A        ,70,2021-10-03T00:00:00Z,    100 
S49223,2021-085B,R2          ,41.45,2021-10-04T21:16:00Z,   6000 
S49248,2021-084B,C  A T-     ,51.65,2022-03-08T17:00:00Z,   2300 
S49257,2021-086B,R4          ,97.5,2021-10-11T14:23:00Z,     50 
S49259,2021-087B,R3          ,51.4,2022-08-14T05:31:00Z,   2800 
S49268,2021-078B,CX A T      ,51.64,2021-11-18T10:37:00Z,   2000 
S49270,2021-089B,R3          ,51.65,2021-10-08T04:51:00Z,   2350 
S49327,2021-092B,R2          ,41.46,2021-11-01T17:30:00Z,   5500 
S49339,2021-097B,R4          ,97.59,2021-10-30T00:00:00Z,     50 
S49380,2021-098B,R3          ,51.64,2021-10-30T12:25:00Z,   2350 
S49386,2021-099D,R3          ,98.11,2021-12-19T06:33:00Z,   2500 
S49392,2021-101C,R2-----     ,34.99,2023-04-07T03:50:00Z,   4006 
S49394,2021-101E,C  A        ,35,2023-04-01T19:00:00Z,    300 
S49405,2021-102L,R3          ,97.69,2022-01-20T09:15:00Z,    400 
S49406,2021-030B,C  A T      ,51.73,2022-09-28T12:11:00Z,   2300 
S49461,2021-104BF,C  A        ,53.22,2021-11-30T00:00:00Z,    100 
S49462,2021-104BG,C  A        ,53.22,2021-11-30T00:00:00Z,    100 
S49463,2021-104BH,C  A        ,53.22,2021-12-01T00:00:00Z,    100 
S49468,2021-104BJ,C  A        ,53.22,2021-11-30T00:00:00Z,    100 
S49471,2021-106C,C  A        ,42.02,2022-03-12T00:00:00Z,     20 
S49472,2021-106D,R2          ,42.02,2021-11-30T21:56:00Z,    250 
S49473,2021-106E,R3          ,42.01,2021-11-22T00:00:00Z,     40 
S49493,2021-107B,R3          ,97.4,2022-01-26T11:42:00Z,   1000 
S49500,2021-111B,R3          ,51.64,2021-11-26T12:12:00Z,   2350 
S49502,2021-112B,R4          ,97.52,2021-12-22T11:04:00Z,     50 
S49506,2021-114B,R3          ,27.04,2023-05-10T00:00:00Z,   2800 
S49774,2021-115BC,C  A     m  ,53.21,2023-03-07T00:00:00Z,      5 
S49775,2021-115BD,C  A        ,53.21,2023-06-10T00:00:00Z,    100 
S49776,2021-115BE,C  A        ,53.21,2023-04-20T00:00:00Z,    100 
S49777,2021-115BF,C  A        ,53.21,2023-04-19T00:00:00Z,    100 
S49778,2021-115BG,C  A        ,53.21,2023-03-24T00:00:00Z,    100 
S49923,2021-119B,R3          ,51.64,2021-12-11T18:35:00Z,   2350 
S49951,2021-120C,C  A        ,42.01,2022-03-21T00:00:00Z,     20 
S49952,2021-120D,R2          ,42.02,2021-12-17T09:04:00Z,    250 
S49953,2021-120E,R3          ,42.02,2021-12-20T00:00:00Z,     40 
S49963,2021-122C,C  A        ,97.36,2022-10-29T00:00:00Z,     50 
S49964,2021-122D,R3          ,97.27,2022-04-29T23:10:00Z,   1000 
S50006,2021-124B,R3          ,26.84,2024-02-03T15:09:00Z,   2800 
S50208,2021-125BE,C  A        ,53.22,2022-01-02T00:00:00Z,    100 
S50209,2021-125BF,C  A        ,53.23,2022-01-01T00:00:00Z,    100 
S50210,2021-125BG,C  A        ,53.24,2021-12-31T00:00:00Z,    100 
S50211,2021-125BH,C  A        ,53.23,2022-01-01T00:00:00Z,    100 
S50213,2021-126B,R2          ,27.08,2022-03-08T07:35:00Z,   4000 
S50320,2021-128B,R2          ,30.04,2022-02-09T23:20:00Z,   4000 
S50323,2021-129C,R3          ,19.52,2022-01-07T23:41:00Z,   2800 
S50575,2021-135B,R3          ,26.94,2022-09-15T10:03:00Z,   2800 
S50852,2022-001BB,C  A        ,53.2,2022-01-22T00:00:00Z,    100 
S50853,2022-001BC,C  A        ,53.21,2022-01-20T00:00:00Z,    100 
S50854,2022-001BD,C  A        ,53.21,2022-01-21T00:00:00Z,    100 
S50855,2022-001BE,C  A        ,53.21,2022-01-21T00:00:00Z,    100 
S51101,2022-003H,R2          ,45.03,2023-10-04T23:30:00Z,    200 
S51153,2022-005BB,C  A        ,53.21,2022-02-02T00:00:00Z,    100 
S51154,2022-005BC,C  A        ,53.22,2022-02-02T00:00:00Z,    100 
S51155,2022-005BD,C  A        ,53.22,2022-02-02T00:00:00Z,    100 
S51156,2022-005BE,C  A        ,53.22,2022-02-02T00:00:00Z,    100 
S51283,2021-127B,C  A T      ,51.64,2022-02-01T01:55:00Z,   2300 
S51473,2022-010T,C  A        ,53.21,2022-02-16T00:00:00Z,    100 
S51474,2022-010U,C  A        ,53.21,2022-02-16T00:00:00Z,    100 
S51475,2022-010V,C  A        ,53.21,2022-02-14T00:00:00Z,    100 
S51476,2022-010W,C  A        ,53.21,2022-02-16T00:00:00Z,    100 
S51661,2022-014B,R3          ,51.66,2022-02-17T00:00:00Z,   2350 
S51713,2022-015B,R2          ,51.62,2022-02-25T13:31:00Z,   1220 
S51760,2022-016AY,C  A        ,53.23,2022-05-06T00:00:00Z,    100 
S51761,2022-016AZ,C  A        ,53.23,2022-04-28T00:00:00Z,    100 
S51762,2022-016BA,C  A        ,53.23,2022-04-28T00:00:00Z,    100 
S51763,2022-016BB,C  A        ,53.22,2022-04-27T00:00:00Z,    100 
S51818,2022-017BC,C  A        ,53.23,2022-04-11T00:00:00Z,    100 
S51819,2022-017BD,C  A        ,53.23,2022-04-09T00:00:00Z,    100 
S51820,2022-017BE,C  A        ,53.23,2022-04-08T00:00:00Z,    100 
S51821,2022-017BF,C  A        ,53.23,2022-04-07T00:00:00Z,    100 
S51842,2022-019U,R2          ,97.57,2024-07-28T09:51:00Z,   2800 
S51848,2022-020B,R3          ,97.08,2024-05-21T00:00:00Z,     40 
S51849,2022-020C,R2          ,97.73,2022-03-15T00:00:00Z,    250 
S51899,2022-022AZ,C  A        ,53.23,2022-04-17T00:00:00Z,    100 
S51900,2022-022BA,C  A        ,53.23,2022-04-13T00:00:00Z,    100 
S51901,2022-022BB,C  A        ,53.22,2022-04-13T00:00:00Z,    100 
S51902,2022-022BC,C  A        ,53.22,2022-04-12T00:00:00Z,    100 
S52004,2022-025BA,C  A        ,53.23,2022-04-21T00:00:00Z,    100 
S52005,2022-025BB,C  A        ,53.23,2022-04-18T00:00:00Z,    100 
S52006,2022-025BC,C  A        ,53.22,2022-04-17T00:00:00Z,    100 
S52007,2022-025BD,C  A        ,53.22,2022-04-17T00:00:00Z,    100 
S52087,2022-028B,R3          ,51.66,2022-03-21T08:57:00Z,   2350 
S52141,2022-029BF,C  A        ,53.21,2022-04-28T00:00:00Z,    100 
S52142,2022-029BG,C  A        ,53.21,2022-04-29T00:00:00Z,    100 
S52143,2022-029BH,C  A        ,53.21,2022-04-26T00:00:00Z,    100 
S52144,2022-029BJ,C  A        ,53.22,2022-04-23T00:00:00Z,    100 
S52154,2022-032B,R4          ,97.63,2022-04-07T21:23:00Z,    500 
S52195,2022-034A,C  A        ,53,2022-06-21T17:30:00Z,     20 
S52198,2022-034D,R2          ,52.99,2022-04-06T01:07:00Z,    250 
S52199,2022-034E,R3          ,53.03,2022-04-11T00:00:00Z,     40 
